tool_name,tool_version,output_name,output_extension,output_edam_format
tables_arithmetic_operations,1.0.0,outputFile1,tabular,format_3475
annotatemyids,3.5.0.1,out_tab,tabular,format_3475
annotatemyids,3.5.0.1,out_rscript,txt,format_2330
fasta_nucleotide_color_plot,1.0.1,output,png,format_3603
table_compute,0.9.2,table,tabular,format_3475
samtool_filter2,1.1.2,output1,sam,format_2573
ggplot2_pca,2.2.1,output1,png,format_3603
ggplot2_pca,2.2.1,output2,pdf,format_3508
gff3.rebase,1.2,output,gff3,format_1975
samtools_calmd,2.0.2,calmd_output,bam,format_2572
sra_pileup,2.10.3,output_accession,pileup,format_3015
sra_pileup,2.10.3,output_file,pileup,format_3015
sra_pileup,2.10.3,output_text,pileup,format_3015
fasterq_dump,2.10.4,log,txt,format_2330
sam_dump,2.10.4,output_accession,bam,format_2572
sam_dump,2.10.4,output_file,bam,format_2572
fastq_dump,2.10.4,output_accession,fastqsanger,format_1932
fastq_dump,2.10.4,output_file,fastqsanger,format_1932
uniprotxml_downloader,2.1.0,proteome,uniprotxml,format_2032
spocc_occ,0.9.0,output,tabular,format_3475
trinity_define_clusters_by_cutting_tree,2.8.4+galaxy1,cluster_plots,pdf,format_3508
unipept,4.0.0,output_json,d3_hierarchy,format_3464
unipept,4.0.0,output_ec_json,d3_hierarchy,format_3464
unipept,4.0.0,output_tsv,tabular,format_3475
unipept,4.0.0,output_csv,csv,format_3475
unipept,4.0.0,output_ec_tsv,tabular,format_3475
unipept,4.0.0,output_go_tsv,tabular,format_3475
unipept,4.0.0,output_unmatched,tabular,format_3475
ncbi_eutils_esearch,1.2,default,json,format_3464
ncbi_eutils_esearch,1.2,history,json,format_3464
ncbi_eutils_egquery,1.2,default,xml,format_2332
ncbi_eutils_egquery,1.2,history,json,format_3464
ncbi_eutils_ecitmatch,1.2,default,tabular,format_3475
ncbi_eutils_epost,1.2,history,json,format_3464
ncbi_eutils_elink,1.2,default,xml,format_2332
ncbi_eutils_elink,1.2,history,json,format_3464
ncbi_eutils_einfo,1.2,default,xml,format_2332
ncbi_eutils_esummary,1.2,default,xml,format_2332
uniprot,0.2,outfile_retrieve_fasta,fasta,format_1929
uniprot,0.2,outfile_retrieve_gff,gff,format_2305
uniprot,0.2,outfile_retrieve_txt,txt,format_2330
uniprot,0.2,outfile_map,tabular,format_3475
get_sequences,0.1.2,output,fasta,format_1929
get_genetree,0.1.2,output,json,format_3464
get_feature_info,0.1.2,output,json,format_3464
enasearch_search_data,0.1.1.0,output,tabular,format_3475
enasearch_retrieve_data,0.1.1.0,output,tabular,format_3475
enasearch_retrieve_taxons,0.1.1.0,output,tabular,format_3475
enasearch_retrieve_analysis_report,0.1.1.0,output,tabular,format_3475
enasearch_retrieve_run_report,0.1.1.0,output,tabular,format_3475
ebi_search_rest_results,0.1.1,search_results,tabular,format_3475
dbbuilder,0.3.0,output_database,fasta,format_1929
ebi_metagenomics_run_downloader,0.1.0,output_file_fasta,fasta,format_1929
ebi_metagenomics_run_downloader,0.1.0,output_file_tsv,tsv,format_3475
ebi_metagenomics_run_downloader,0.1.0,output_file_csv,csv,format_3475
ebi_metagenomics_run_downloader,0.1.0,output_file_newick,newick,format_1910
ega_download_streamer,2.1.6.g0,output,_sniff_,None
microbial_import1,1.0.0,output,bed,format_3003
curl_post,0.0.2,output,txt,format_2330
send_to_cloud,0.1.0,output,data,format_1915
interactive_tool_fairdom_send,0.1.0,result,html,format_2331
unzip,0.2,unzipped_single,_sniff_,None
collection_element_identifiers,0.0.2,output,txt,format_2330
collapse_dataset,4.0,output,data,format_1915
collection_column_join,0.0.3,tabular_output,tabular,format_3475
collection_column_join,0.0.3,script_output,txt,format_2330
histogram_rpy,1.0.3,out_file1,pdf,format_3508
imagecoordinates_flipaxis,0.1,output,tabular,format_3475
table_compute,0.9.2,table,tabular,format_3475
join_files_on_column_fuzzy,1.0.1,merged_file,tabular,format_3475
tp_find_and_replace,1.1.2,outfile,data,format_1915
Add_a_column1,1.2.0,out_file1,data,format_1915
replace_chromosome_names,0.1,output,data,format_1915
tp_replace_in_line,1.1.2,outfile,data,format_1915
jq,1.0,output,json,format_3464
tp_uniq_tool,1.1.1,outfile,data,format_1915
cast,1.4.2,output,tabular,format_3475
melt,1.4.2,output,tabular,format_3475
gops_basecoverage_1,1.0.0,output,txt,format_2330
tp_replace_in_column,1.1.3,outfile,data,format_1915
gops_complement_1,1.0.0,output,data,format_1915
gops_cluster_1,1.0.0,output,data,format_1915
prinseq,0.20.4,good_sequence_file,data,format_1915
prinseq,0.20.4,rejected_sequence_file,data,format_1915
prinseq,0.20.4,good_sequences_1_file,data,format_1915
prinseq,0.20.4,good_sequences_1_singletons_file,data,format_1915
prinseq,0.20.4,rejected_sequence_1_file,data,format_1915
prinseq,0.20.4,good_sequences_2_file,data,format_1915
