tool_name,tool_version,input_name,input_extension,input_edam_format
tables_arithmetic_operations,1.0.0,inputFile1,tabular,format_3475
tables_arithmetic_operations,1.0.0,inputFile2,tabular,format_3475
annotatemyids,3.5.0.1,id_file,tabular,format_3475
fasta_nucleotide_color_plot,1.0.1,input,fasta,format_1929
table_compute,0.9.2,singtabop|input,tsv,format_3475
table_compute,0.9.2,singtabop|tables|input,tsv,format_3475
samtool_filter2,1.1.2,input1,sam,format_2573
samtool_filter2,1.1.2,bed_file,bed,format_3003
ggplot2_pca,2.2.1,input1,tabular,format_3475
gff3.rebase,1.2,parent,gff3,format_1975
gff3.rebase,1.2,child,gff3,format_1975
samtools_calmd,2.0.2,input_bam,bam,format_2572
samtools_calmd,2.0.2,reference_source|ref_fasta,fasta,format_1929
sra_pileup,2.10.3,input|file,sra,format_2333
sra_pileup,2.10.3,input|text,txt,format_2330
fasterq_dump,2.10.4,input|file,sra,format_2333
fasterq_dump,2.10.4,input|file_list,txt,format_2330
sam_dump,2.10.4,input|file,sra,format_2333
sam_dump,2.10.4,input|file_list,txt,format_2330
fastq_dump,2.10.4,input|file,sra,format_2333
fastq_dump,2.10.4,input|file_list,txt,format_2330
uniprotxml_downloader,2.1.0,taxid|taxon_file,tabular,format_3475
trinity_define_clusters_by_cutting_tree,2.8.4+galaxy1,rdata,rdata,format_2333
unipept,4.0.0,peptide_src|input,mzid,format_3247
unipept,4.0.0,peptide_src|input_tsv,tabular,format_3475
unipept,4.0.0,peptide_src|input_fasta,fasta,format_1929
unipept,4.0.0,peptide_src|input_mzid,mzid,format_3247
unipept,4.0.0,peptide_src|input_pepxml,pepxml,format_3655
ncbi_eutils_esearch,1.2,history_file,json,format_3464
ncbi_eutils_ecitmatch,1.2,input|citation_file,tabular,format_3475
ncbi_eutils_epost,1.2,query_source|history_file,json,format_3464
ncbi_eutils_epost,1.2,query_source|id_file,text,None
ncbi_eutils_elink,1.2,query_source|history_file,json,format_3464
ncbi_eutils_elink,1.2,query_source|id_file,text,None
ncbi_eutils_esummary,1.2,query_source|history_file,json,format_3464
ncbi_eutils_esummary,1.2,query_source|id_file,text,None
ncbi_eutils_efetch,1.2,query_source|history_file,json,format_3464
ncbi_eutils_efetch,1.2,query_source|id_file,text,None
uniprot,0.2,infile,tabular,format_3475
get_sequences,0.1.2,input,txt,format_2330
get_feature_info,0.1.2,input,txt,format_2330
curl_post,0.0.2,input,data,format_1915
send_to_cloud,0.1.0,filename,data,format_1915
interactive_tool_fairdom_send,0.1.0,upload|input,txt,format_2330
tp_split_on_column,0.2,infile,tabular,format_3475
split_file_to_collection,0.4.0,split_parms|input,tabular,format_3475
split_file_to_collection,0.4.0,split_parms|input,mgf,format_3651
split_file_to_collection,0.4.0,split_parms|input,fastq,format_1930
split_file_to_collection,0.4.0,split_parms|input,fasta,format_1929
split_file_to_collection,0.4.0,split_parms|input,sdf,format_2330
split_file_to_collection,0.4.0,split_parms|input,txt,format_2330
unzip,0.2,input_file,zip,format_2333
collapse_dataset,4.0,input_list,data,format_1915
collection_column_join,0.0.3,input_tabular,tabular,format_3475
histogram_rpy,1.0.3,input,tabular,format_3475
imagecoordinates_flipaxis,0.1,input,tabular,format_3475
table_compute,0.9.2,singtabop|input,tsv,format_3475
table_compute,0.9.2,singtabop|tables|input,tsv,format_3475
regexColumn1,1.0.0,input,tabular,format_3475
regex1,1.0.0,input,txt,format_2330
join_files_on_column_fuzzy,1.0.1,f1,tabular,format_3475
join_files_on_column_fuzzy,1.0.1,f2,tabular,format_3475
tp_find_and_replace,1.1.2,infile,txt,format_2330
Add_a_column1,1.2.0,input,tabular,format_3475
replace_chromosome_names,0.1,input,tabular,format_3475
replace_chromosome_names,0.1,mapping,tabular,format_3475
tp_replace_in_line,1.1.2,infile,txt,format_2330
jq,1.0,input,json,format_3464
tp_uniq_tool,1.1.1,infile,tabular,format_3475
cast,1.4.2,input,tabular,format_3475
melt,1.4.2,input,tabular,format_3475
gops_basecoverage_1,1.0.0,input1,interval,format_3475
gops_subtract_1,1.0.0,input2,interval,format_3475
gops_subtract_1,1.0.0,input1,interval,format_3475
tp_replace_in_column,1.1.3,infile,tabular,format_3475
gops_complement_1,1.0.0,input1,interval,format_3475
gops_cluster_1,1.0.0,input1,interval,format_3475
prinseq,0.20.4,seq_type|input_singles,fastqsanger,format_1932
prinseq,0.20.4,seq_type|input_mate1,fastqsanger,format_1932
prinseq,0.20.4,seq_type|input_mate2,fastqsanger,format_1932
tp_sort_header_tool,1.1.1,infile,tabular,format_3475
tp_awk_tool,1.1.1,infile,txt,format_2330
gff3.rebase,1.2,parent,gff3,format_1975
gff3.rebase,1.2,child,gff3,format_1975
tp_grep_tool,1.1.1,infile,txt,format_2330
tp_sed_tool,1.1.1,infile,txt,format_2330
tp_unfold_column_tool,1.1.1,infile,tabular,format_3475
column_remove_by_header,0.0.1,input_tabular,tabular,format_3475
column_order_header_sort,0.0.1,input_tabular,tabular,format_3475
replace_column_with_key_value_file,0.1,original_file,tabular,format_3475
replace_column_with_key_value_file,0.1,replace_information,tabular,format_3475
addName,0.1.1,input,tabular,format_3475
tp_sorted_uniq,1.1.0,infile,tabular,format_3475
tp_easyjoin_tool,1.1.1,infile1,tabular,format_3475
tp_easyjoin_tool,1.1.1,infile2,txt,format_2330
tp_head_tool,1.1.0,infile,txt,format_2330
tp_cat,0.1.0,inputs,txt,format_2330
tp_cat,0.1.0,queries|inputs2,txt,format_2330
tp_multijoin_tool,1.1.1,first_file,txt,format_2330
tp_multijoin_tool,1.1.1,files,txt,format_2330
tp_tail_tool,1.1.0,infile,txt,format_2330
tp_cut_tool,1.1.0,input,txt,format_2330
tp_text_file_with_recurring_lines,1.1.0,token_set|repeat_select|infile,txt,format_2330
tp_sort_rows,1.1.0,infile,tabular,format_3475
tp_tac,1.1.0,infile,txt,format_2330
tp_split_on_column,0.2,infile,tabular,format_3475
